accountsservice 23.13.9-2
thunar 4.18.10-2
thunar-archive-plugin 0.5.2-1
thunar-volman 4.18.0-2
tldr 3.3.0-1
tlp 1.6.1-1
tmux 3.4-9
tree 2.1.3-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-hack-nerd 3.2.1-2
ttf-liberation 2.1.5-2
ttf-opensans 1.101-3
tumbler 4.18.2-1
unrar 1:7.0.9-1
unzip 6.0-21
upower 1.90.4-1
usb_modeswitch 2.6.1-4
usbutils 017-1
vi 1:070224-6
visual-studio-code-bin 1.91.1-1
vpnc 1:0.5.3.r539.r239-1
welcome 24.6-1
wget 1.24.5-3
which 2.21-6
whois 5.5.23-1
wireless-regdb 2024.07.04-1
wireless_tools 30.pre9-4
wpa_supplicant 2:2.10-8
wvdial 1.61-9
xbindkeys 1.8.7-5
xclip 0.13-5
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.11-3
xdg-utils 1.2.1-1
xed 3.6.3-1
xf86-input-libinput 1.4.0-2
xf86-video-fbdev 0.5.0-4
xf86-video-intel 1:2.99.917+923+gb74b67f0-2
xf86-video-vesa 2.6.0-2
xfce4-terminal 1.1.3-1
xfsprogs 6.8.0-2
xl2tpd 1.3.18-1
xorg-server 21.1.13-1
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
xorg-xkill 1.0.6-2
xorg-xrandr 1.5.2-2
xterm 393-1
yad 14.1-1.1
yay 12.3.5-1
zsh 5.9-5
zsh-autosuggestions 0.7.0-3
zsh-completions 0.35.0-2
zsh-syntax-highlighting 0.8.0-1
zsh-theme-powerlevel10k-git r4281.bde5ca4c-1
